,Year,Term Number,Department,Course Number,Number of Sections,Enrollments,Median GPA Points,Average Section Size
0,,,AAAS,31.1,1.0,14.0,4.0,14.0
1,2021.0,3.0,AAAS,31.9,1.0,17.0,4.0,17.0
2,2021.0,3.0,AAAS,60.01,1.0,19.0,3.666666666666666,
3,2021.0,3.0,AAAS,62.75,1.0,29.0,4.0,29.0
4,2021.0,3.0,AAAS,65.65,1.0,16.0,3.333333333333333,16.0
5,2021.0,3.0,AAAS,88.19,1.0,19.0,4.0,19.0
6,2021.0,3.0,ANTH,3.0,1.0,58.0,,58.0
7,2021.0,3.0,ANTH,18.0,1.0,16.0,4.0,16.0
8,2021.0,3.0,,12.19,1.0,24.0,4.0,24.0
9,2021.0,3.0,ARTH,17.06,1.0,21.0,3.6666666666666665,21.0
10,,3.0,ARTH,47.01,1.0,27.0,3.6666666666666665,27.0
11,2021.0,3.0,ARTH,62.71,1.0,,3.6666666666666665,21.0
12,2021.0,3.0,ASCL,54.09,1.0,22.0,3.666666666666666,22.0
13,2021.0,,ASCL,60.24,1.0,25.0,4.0,25.0
14,2021.0,3.0,ASCL,70.18,2.0,88.0,4.0,44.0
15,2021.0,3.0,ASTR,1.0,1.0,97.0,3.333333333333334,97.0
16,2021.0,3.0,ASTR,2.0,,62.0,4.0,31.0
17,2021.0,3.0,BIOL,13.0,1.0,71.0,3.0,71.0
18,2021.0,3.0,BIOL,,1.0,13.0,4.0,13.0
19,2021.0,,BIOL,45.0,1.0,19.0,4.0,19.0
20,2021.0,,CHEM,52.0,1.0,65.0,3.0,
21,2021.0,3.0,CHEM,63.0,1.0,16.0,3.5,16.0
22,2021.0,3.0,CLST,4.0,2.0,102.0,3.859477124183006,51.0
23,2021.0,3.0,CLST,12.02,2.0,29.0,3.6666666666666665,14.5
24,2021.0,3.0,,31.0,1.0,17.0,,17.0
25,2021.0,3.0,COGS,11.03,,17.0,,17.0
26,,,,18.04,1.0,32.0,,32.0
27,2021.0,3.0,COLT,39.03,1.0,16.0,4.0,16.0
28,2021.0,3.0,COLT,,1.0,16.0,3.333333333333333,16.0
29,,3.0,COLT,57.1,1.0,44.0,4.0,44.0
30,,3.0,COSC,21.0,1.0,25.0,4.0,25.0
31,2021.0,3.0,COSC,30.0,,55.0,3.333333333333333,
32,2021.0,,COSC,50.0,,41.0,4.0,41.0
33,2021.0,3.0,COSC,56.0,1.0,36.0,3.6666666666666665,36.0
34,2021.0,3.0,COSC,59.0,1.0,30.0,4.0,30.0
35,2021.0,3.0,CRWT,11.0,2.0,23.0,4.0,11.5
36,2021.0,3.0,EARS,5.0,1.0,71.0,3.6666666666666665,71.0
37,2021.0,3.0,EARS,40.0,1.0,27.0,4.0,27.0
38,2021.0,3.0,ECON,20.0,2.0,84.0,3.333333333333333,42.0
39,2021.0,3.0,ECON,,2.0,110.0,3.333333333333333,55.0
40,2021.0,,,22.0,1.0,39.0,3.333333333333333,39.0
41,2021.0,3.0,ECON,26.0,,92.0,3.6666666666666665,46.0
42,,3.0,EDUC,17.0,1.0,,2.6666666666666665,15.0
43,2021.0,3.0,ENGL,44.0,1.0,13.0,3.6666666666666665,
44,2021.0,,,48.0,1.0,19.0,4.0,
45,2021.0,,ENGL,52.1,,21.0,3.6666666666666665,
46,2021.0,3.0,ENGL,53.22,1.0,12.0,3.6666666666666665,12.0
47,2021.0,3.0,ENGL,53.39,1.0,29.0,4.0,29.0
48,2021.0,3.0,ENGL,64.01,,15.0,3.6666666666666665,15.0
49,2021.0,3.0,ENGS,2.0,1.0,50.0,4.0,50.0
50,2021.0,3.0,ENGS,21.0,1.0,42.0,4.0,42.0
51,2021.0,3.0,ENGS,22.0,1.0,39.0,4.0,39.0
52,2021.0,3.0,ENGS,25.0,1.0,13.0,,13.0
53,2021.0,3.0,ENGS,27.0,1.0,19.0,4.0,19.0
54,2021.0,3.0,ENGS,31.0,1.0,36.0,3.6666666666666665,36.0
55,2021.0,3.0,ENGS,33.0,1.0,14.0,4.0,14.0
56,2021.0,3.0,ENGS,37.0,2.0,27.0,3.6049382716049374,13.5
57,2021.0,3.0,ENGS,,1.0,16.0,3.6666666666666665,16.0
58,2021.0,3.0,ENVS,25.0,1.0,17.0,4.0,17.0
59,2021.0,3.0,ENVS,80.11,1.0,18.0,4.0,18.0
60,2021.0,3.0,ENVS,80.12,1.0,25.0,3.666666666666666,25.0
61,,3.0,FILM,1.0,1.0,,4.0,45.0
62,2021.0,3.0,FILM,,1.0,10.0,4.0,10.0
63,2021.0,3.0,FILM,42.22,1.0,25.0,3.666666666666666,25.0
64,2021.0,3.0,FILM,44.09,1.0,15.0,4.0,
65,2021.0,3.0,FILM,49.02,1.0,17.0,4.0,17.0
66,,,FREN,3.0,1.0,12.0,3.333333333333333,12.0
67,2021.0,3.0,FRIT,37.04,1.0,16.0,4.0,16.0
68,2021.0,3.0,GEOG,24.0,1.0,22.0,3.666666666666666,22.0
69,2021.0,3.0,,6.01,1.0,23.0,3.6666666666666665,23.0
70,2021.0,3.0,GEOG,50.02,,20.0,4.0,20.0
71,2021.0,3.0,GEOG,50.03,1.0,17.0,4.0,17.0
72,2021.0,3.0,GERM,,,18.0,4.0,18.0
73,2021.0,3.0,GOVT,6.0,1.0,22.0,3.333333333333334,22.0
74,2021.0,3.0,GOVT,20.02,1.0,22.0,3.333333333333334,22.0
75,2021.0,,GOVT,30.15,,26.0,,
76,2021.0,3.0,GOVT,50.02,,28.0,3.333333333333333,28.0
77,2021.0,3.0,GOVT,60.2,1.0,21.0,3.6666666666666665,21.0
78,2021.0,3.0,GOVT,85.29,1.0,15.0,3.6666666666666665,
79,2021.0,3.0,GOVT,86.04,1.0,,,
80,2021.0,3.0,HIST,26.0,1.0,22.0,3.666666666666666,
81,,3.0,HIST,29.0,1.0,19.0,3.666666666666666,19.0
